hold_mean,hold_std,flight_mean,flight_std,backspace_rate,typing_speed,risk_category,timestamp,anomaly_score
432.0,64.8,396.0,59.4,0.0,52.863436123348016,high_risk,2025-07-15T22:59:04.047769,-0.7855
1016.0,152.4,994.0,149.1,0.0,24.52316076294278,high_risk,2025-07-15T22:59:04.941652,-0.7855
889.0,133.35,869.0,130.35,0.0,20.364870598218072,high_risk,2025-07-15T22:59:06.003779,-0.7855
1074.0,161.1,1054.0,158.1,0.0,17.462165308498253,high_risk,2025-07-15T22:59:09.738642,-0.7855
3715.0,557.25,3690.0,553.5,0.0,10.07838745800672,high_risk,2025-07-15T22:59:10.081562,-0.7855
345.0,51.75,327.0,49.05,0.0,11.207471647765177,high_risk,2025-07-15T22:59:10.613516,-0.7855
525.0,78.75,501.0,75.14999999999999,0.0,11.968582471013589,high_risk,2025-07-15T22:59:13.146440,-0.7855
2554.0,383.1,2529.0,379.35,0.0,10.21566401816118,high_risk,2025-07-15T22:59:15.527312,-0.7855
2380.0,357.0,2358.0,353.7,0.0,9.267840593141797,high_risk,2025-07-15T22:59:15.781818,-0.7855
242.0,36.3,224.0,33.6,0.0,10.00151538111835,high_risk,2025-07-15T22:59:16.348261,-0.7855
570.0,85.5,544.0,81.6,0.0,10.462074978204011,high_risk,2025-07-15T22:59:16.809274,-0.7855
467.0,70.05,445.0,66.75,0.0,10.962754743499648,high_risk,2025-07-15T22:59:18.879986,-0.7855
2061.0,309.15,2040.0,306.0,0.0,10.310543758438689,high_risk,2025-07-15T22:59:19.335870,-0.7855
477.0,71.55,453.0,67.95,0.0,10.73473282442748,high_risk,2025-07-15T22:59:19.935188,-0.7855
589.0,88.35,568.0,85.2,0.0,11.065644631433347,high_risk,2025-07-15T22:59:20.932035,-0.7855
984.0,147.6,969.0,145.35,0.0588235294117647,11.120196238757154,high_risk,2025-07-15T22:59:21.121441,-0.7849
207.0,31.05,182.0,27.3,0.1111111111111111,11.646716273050794,high_risk,2025-07-15T22:59:21.376125,-0.78
266.0,39.9,247.0,37.05,0.1578947368421052,12.12056775291053,high_risk,2025-07-15T22:59:22.709597,-0.7811
1304.0,195.6,1286.0,192.9,0.2,11.924280816813235,high_risk,2025-07-15T22:59:22.997076,-0.7833
309.0,46.35,279.0,41.85,0.238095238095238,12.336009398864304,high_risk,2025-07-15T22:59:23.473199,-0.7871
479.0,71.85,457.0,68.55,0.2727272727272727,12.629766062287713,high_risk,2025-07-15T22:59:24.624098,-0.7893
1132.0,169.79999999999998,1114.0,167.1,0.3043478260869565,12.526664548631596,high_risk,2025-07-15T22:59:25.058176,-0.7932
440.0,66.0,424.0,63.6,0.3333333333333333,12.810248198558847,high_risk,2025-07-15T22:59:25.470236,-0.7954
404.0,60.6,379.0,56.85,0.36,13.11131506490101,high_risk,2025-07-15T22:59:25.884952,-0.7954
415.0,62.25,395.0,59.25,0.3846153846153846,13.392857142857144,high_risk,2025-07-15T22:59:26.271031,-0.7954
394.0,59.1,374.0,56.1,0.4074074074074074,13.684166068336362,high_risk,2025-07-15T22:59:26.676105,-0.7954
410.0,61.5,403.0,60.45,0.4285714285714285,13.943644437066853,high_risk,2025-07-15T22:59:26.971813,-0.7954
295.0,44.25,278.0,41.7,0.4482758620689655,14.264048858466207,high_risk,2025-07-15T22:59:27.443174,-0.7954
471.0,70.64999999999999,449.0,67.35,0.4666666666666667,14.486921529175053,high_risk,2025-07-15T22:59:27.867492,-0.7954
418.0,62.7,414.0,62.1,0.4838709677419355,14.711116383912682,high_risk,2025-07-15T22:59:28.281802,-0.7954
411.0,61.65,388.0,58.2,0.5,14.952106533759054,high_risk,2025-07-15T22:59:29.558182,-0.7954
1266.0,189.9,1259.0,188.85,0.4848484848484848,14.68570368996848,high_risk,2025-07-15T22:59:29.692154,-0.7954
146.0,21.9,122.0,18.3,0.4705882352941176,15.048686928297432,high_risk,2025-07-15T22:59:29.978519,-0.7954
296.0,44.4,271.0,40.65,0.4571428571428571,15.332943925233645,high_risk,2025-07-15T22:59:30.323493,-0.7954
346.0,51.9,337.0,50.55,0.4444444444444444,15.572618146425867,high_risk,2025-07-15T22:59:30.557717,-0.7954
212.0,31.8,200.0,30.0,0.4324324324324324,15.88721508569793,high_risk,2025-07-15T22:59:30.889632,-0.7954
339.0,50.85,333.0,49.95,0.4210526315789473,16.121049282330482,high_risk,2025-07-15T22:59:31.284036,-0.7954
388.0,58.2,382.0,57.3,0.4102564102564102,16.320836965998257,high_risk,2025-07-15T22:59:31.732453,-0.7954
468.0,70.2,461.0,69.14999999999999,0.4,16.471072678608195,high_risk,2025-07-15T22:59:31.855807,-0.7954
108.0,16.2,102.0,15.3,0.3902439024390244,16.80844521881726,high_risk,2025-07-15T22:59:32.008953,-0.7282
179.0,26.85,152.0,22.8,0.3809523809523809,17.1259641849876,high_risk,2025-07-15T22:59:32.535905,-0.7954
498.0,74.7,492.0,73.8,0.3720930232558139,17.23907523720433,high_risk,2025-07-15T22:59:32.940664,-0.7954
398.0,59.7,387.0,58.05,0.3636363636363636,17.411376751854906,high_risk,2025-07-15T22:59:33.147552,-0.7954
227.0,34.05,221.0,33.15,0.3555555555555555,17.671313567641864,high_risk,2025-07-15T22:59:33.430964,-0.7954
281.0,42.15,269.0,40.35,0.3478260869565217,17.891870867366784,high_risk,2025-07-15T22:59:34.360368,-0.7954
928.0,139.2,903.0,135.45,0.3617021276595745,17.747569149438306,high_risk,2025-07-15T22:59:34.592947,-0.7954
239.0,35.85,215.0,32.25,0.375,17.992128443805832,high_risk,2025-07-15T22:59:34.813455,-0.7954
225.0,33.75,205.0,30.75,0.3877551020408163,18.243872168786847,high_risk,2025-07-15T22:59:36.206574,-0.7954
225.0,33.75,205.0,30.75,0.3877551020408163,18.243872168786847,high_risk,2025-07-15T22:59:36.244643,-0.7954
225.0,33.75,205.0,30.75,0.3877551020408163,18.243872168786847,high_risk,2025-07-15T22:59:36.948963,-0.7954
225.0,33.75,205.0,30.75,0.3877551020408163,18.243872168786847,medium_risk,2025-07-15T22:59:37.091478,-0.4073
225.0,33.75,205.0,30.75,0.3877551020408163,18.243872168786847,medium_risk,2025-07-15T22:59:38.871279,-0.4073
225.0,33.75,205.0,30.75,0.3877551020408163,18.243872168786847,medium_risk,2025-07-15T22:59:38.901154,-0.4073
225.0,33.75,205.0,30.75,0.3877551020408163,18.243872168786847,medium_risk,2025-07-15T22:59:39.573884,-0.4073
225.0,33.75,205.0,30.75,0.3877551020408163,18.243872168786847,medium_risk,2025-07-15T22:59:39.628849,-0.4073
225.0,33.75,205.0,30.75,0.3877551020408163,18.243872168786847,medium_risk,2025-07-15T22:59:43.102489,-0.4073
225.0,33.75,205.0,30.75,0.3877551020408163,18.243872168786847,medium_risk,2025-07-15T22:59:43.133081,-0.4073
225.0,33.75,205.0,30.75,0.3877551020408163,18.243872168786847,medium_risk,2025-07-15T22:59:43.827805,-0.4073
225.0,33.75,205.0,30.75,0.3877551020408163,18.243872168786847,medium_risk,2025-07-15T22:59:43.860507,-0.4073
225.0,33.75,205.0,30.75,0.3877551020408163,18.243872168786847,medium_risk,2025-07-15T22:59:44.421072,-0.4073
225.0,33.75,205.0,30.75,0.3877551020408163,18.243872168786847,medium_risk,2025-07-15T22:59:44.449760,-0.4073
225.0,33.75,205.0,30.75,0.3877551020408163,18.243872168786847,medium_risk,2025-07-15T22:59:48.752859,-0.4073
225.0,33.75,205.0,30.75,0.3877551020408163,18.243872168786847,medium_risk,2025-07-15T22:59:48.784790,-0.4073
225.0,33.75,205.0,30.75,0.3877551020408163,18.243872168786847,medium_risk,2025-07-15T22:59:49.520420,-0.4073
225.0,33.75,205.0,30.75,0.3877551020408163,18.243872168786847,medium_risk,2025-07-15T22:59:49.548312,-0.4073
225.0,33.75,205.0,30.75,0.3877551020408163,18.243872168786847,medium_risk,2025-07-15T22:59:51.710971,-0.4073
16843.0,2526.45,16832.0,2524.8,0.4,12.225686166636104,high_risk,2025-07-15T22:59:52.107350,-0.7549
415.0,62.25,400.0,60.0,0.4117647058823529,12.36338659825054,medium_risk,2025-07-15T22:59:52.137154,-0.4087
47.0,7.05,23.0,3.45,0.4230769230769231,12.594102569277656,high_risk,2025-07-15T22:59:52.201795,-0.5204
66.0,9.9,43.0,6.45,0.4339622641509434,12.818445662689456,high_risk,2025-07-15T22:59:55.458806,-0.516
66.0,9.9,3190.0,478.5,0.4259259259259259,12.26645465387018,high_risk,2025-07-15T22:59:56.872262,-0.6019
1430.0,214.5,1409.0,211.35,0.4181818181818181,12.163656468853668,high_risk,2025-07-15T22:59:57.430213,-0.5949
569.0,85.35,545.0,81.75,0.4107142857142857,12.258747126856145,medium_risk,2025-07-15T22:59:58.029480,-0.4525
225.0,33.75,205.0,30.75,0.3877551020408163,18.243872168786847,medium_risk,2025-07-15T22:59:58.652444,-0.4073
225.0,33.75,205.0,30.75,0.3877551020408163,18.243872168786847,medium_risk,2025-07-15T22:59:58.680987,-0.4073
596.0,89.39999999999999,583.0,87.45,0.4035087719298245,12.344564962370733,medium_risk,2025-07-15T22:59:59.514320,-0.4619
596.0,89.39999999999999,583.0,87.45,0.4035087719298245,12.344564962370733,medium_risk,2025-07-15T22:59:59.541884,-0.4619
596.0,89.39999999999999,583.0,87.45,0.4035087719298245,12.344564962370733,medium_risk,2025-07-15T23:00:16.051389,-0.4619
596.0,89.39999999999999,583.0,87.45,0.4035087719298245,12.344564962370733,medium_risk,2025-07-15T23:00:16.082294,-0.4619
596.0,89.39999999999999,583.0,87.45,0.4035087719298245,12.344564962370733,medium_risk,2025-07-15T23:00:18.065962,-0.4619
20056.0,3008.4,20048.0,3007.2,0.396551724137931,9.222451900143106,high_risk,2025-07-15T23:00:19.631879,-0.7653
1532.0,229.8,1521.0,228.15,0.3898305084745763,9.194566374899354,high_risk,2025-07-15T23:00:21.405497,-0.6019
1767.0,265.05,1754.0,263.1,0.3833333333333333,9.14065177925326,high_risk,2025-07-15T23:00:22.098980,-0.6191
596.0,89.39999999999999,583.0,87.45,0.4035087719298245,12.344564962370733,medium_risk,2025-07-15T23:00:23.198712,-0.4619
596.0,89.39999999999999,583.0,87.45,0.4035087719298245,12.344564962370733,medium_risk,2025-07-15T23:00:23.230420,-0.4619
720.0,108.0,707.0,106.05,0.3770491803278688,9.209284770711454,medium_risk,2025-07-15T23:00:24.169905,-0.4872
720.0,108.0,707.0,106.05,0.3770491803278688,9.209284770711454,medium_risk,2025-07-15T23:00:24.204244,-0.4872
720.0,108.0,707.0,106.05,0.3770491803278688,9.209284770711454,medium_risk,2025-07-15T23:00:24.862228,-0.4872
